cod_mun;Ano;n1;n2;n3
210700;2016;5,00;0,01;0,00
210710;2016;9,00;0,01;0,00
210720;2016;5,00;0,01;0,00
210725;2016;2,00;0,01;0,00
210730;2016;2,00;0,01;0,00
210735;2016;6,00;0,01;0,00
210740;2016;7,00;0,01;0,00
210745;2016;6,00;0,01;0,00
210750;2016;22,00;0,01;0,00
210760;2016;9,00;0,01;0,00
210770;2016;8,00;0,01;0,00
210780;2016;14,00;0,01;0,00
210790;2016;7,00;0,01;0,00
210800;2016;8,00;0,01;0,00
210805;2016;5,00;0,01;0,00
210810;2016;6,00;0,01;0,00
210820;2016;20,00;0,01;0,00
210825;2016;8,00;0,01;0,00
210830;2016;9,00;0,01;0,00
210840;2016;5,00;0,01;0,00
210845;2016;9,00;0,01;0,00
210850;2016;12,00;0,01;0,00
210860;2016;19,00;0,01;0,00
210870;2016;9,00;0,01;0,00
210880;2016;7,00;0,01;0,00
210890;2016;9,00;0,01;0,00
210900;2016;8,00;0,01;0,00
210905;2016;3,00;0,01;0,00
210910;2016;11,00;0,01;0,00
210920;2016;5,00;0,01;0,00
210923;2016;3,00;0,01;0,00
210927;2016;7,00;0,01;0,00
210930;2016;5,00;0,01;0,00
210940;2016;6,00;0,01;0,00
210945;2016;10,00;0,01;0,00
210950;2016;7,00;0,01;0,00
210955;2016;3,00;0,01;0,00
210960;2016;15,00;0,01;0,00
210970;2016;1,00;0,01;0,00
210975;2016;3,00;0,01;0,00
210980;2016;11,00;0,01;0,00
210990;2016;25,00;0,01;0,00
211000;2016;20,00;0,01;0,00
211003;2016;9,00;0,01;0,00
211010;2016;12,00;0,01;0,00
211020;2016;14,00;0,01;0,00
211023;2016;5,00;0,01;0,00
211027;2016;6,00;0,01;0,00
211030;2016;7,00;0,01;0,00
211040;2016;7,00;0,01;0,00
211050;2016;16,00;0,01;0,00
211060;2016;8,00;0,01;0,00
211065;2016;3,00;0,01;0,00
211070;2016;16,00;0,01;0,00
211080;2016;2,00;0,01;0,00
211085;2016;3,00;0,01;0,00
211090;2016;5,00;0,01;0,00
211100;2016;8,00;0,01;0,00
211102;2016;6,00;0,01;0,00
211105;2016;5,00;0,01;0,00
211107;2016;9,00;0,01;0,00
211110;2016;10,00;0,01;0,00
211120;2016;36,00;0,01;0,00
211125;2016;3,00;0,01;0,00
211130;2016;106,00;0,01;0,00
211140;2016;9,00;0,01;0,00
211150;2016;17,00;0,01;0,00
211153;2016;3,00;0,01;0,00
211157;2016;2,00;0,01;0,00
211160;2016;9,00;0,01;0,00
211163;2016;3,00;0,01;0,00
211167;2016;2,00;0,01;0,00
211170;2016;9,00;0,01;0,00
211172;2016;5,00;0,01;0,00
211174;2016;4,00;0,01;0,00
211176;2016;7,00;0,01;0,00
211178;2016;5,00;0,01;0,00
211180;2016;7,00;0,01;0,00
211190;2016;4,00;0,01;0,00
211195;2016;2,00;0,01;0,00
211200;2016;4,00;0,01;0,00
211210;2016;8,00;0,01;0,00
211220;2016;57,00;0,01;0,00
211223;2016;8,00;0,01;0,00
211227;2016;3,00;0,01;0,00
211230;2016;15,00;0,01;0,00
211240;2016;9,00;0,01;0,00
211245;2016;8,00;0,01;0,00
211250;2016;16,00;0,01;0,00
211260;2016;7,00;0,01;0,00
211270;2016;10,60;0,01;0,00
211280;2016;19,00;0,01;0,00
211285;2016;3,00;0,01;0,00
211290;2016;13,00;0,01;0,00
211300;2016;13,00;0,01;0,00
211400;2016;21,00;0,01;0,00
220005;2016;3,00;0,01;0,00
220010;2016;3,00;0,01;0,00
220020;2016;7,00;0,01;0,00
220025;2016;4,00;0,01;0,00
220027;2016;3,00;0,01;0,00
220030;2016;7,00;0,01;0,00
220040;2016;18,00;0,01;0,00
220045;2016;3,00;0,01;0,00
220050;2016;7,00;0,01;0,00
220060;2016;3,00;0,01;0,00
220070;2016;5,00;0,01;0,00
220080;2016;2,00;0,01;0,00
220090;2016;3,00;0,01;0,00
220095;2016;1,00;0,01;0,00
220100;2016;2,00;0,01;0,00
220105;2016;4,00;0,01;0,00
220110;2016;6,00;0,01;0,00
220115;2016;5,00;0,01;0,00
220117;2016;2,00;0,01;0,00
220120;2016;19,00;0,01;0,00
220130;2016;2,00;0,01;0,00
220140;2016;3,00;0,01;0,00
220150;2016;13,00;0,01;0,00
220155;2016;2,00;0,01;0,00
220157;2016;2,00;0,01;0,00
220160;2016;5,00;0,01;0,00
220170;2016;3,00;0,01;0,00
220173;2016;3,00;0,01;0,00
220177;2016;3,00;0,01;0,00
220180;2016;2,00;0,01;0,00
220190;2016;10,00;0,01;0,00
220191;2016;3,00;0,01;0,00
220192;2016;3,00;0,01;0,00
220194;2016;3,00;0,01;0,00
220196;2016;4,00;0,01;0,00
220198;2016;2,00;0,01;0,00
220200;2016;9,00;0,01;0,00
220202;2016;3,00;0,01;0,00
220205;2016;4,00;0,01;0,00
220207;2016;2,00;0,01;0,00
220208;2016;4,00;0,01;0,00
220209;2016;3,00;0,01;0,00
220210;2016;3,00;0,01;0,00
220211;2016;2,00;0,01;0,00
220213;2016;3,00;0,01;0,00
220217;2016;3,00;0,01;0,00
220220;2016;20,00;0,01;0,00
220225;2016;2,00;0,01;0,00
220230;2016;10,00;0,01;0,00
220240;2016;6,00;0,01;0,00
220245;2016;2,00;0,01;0,00
220250;2016;5,00;0,01;0,00
220253;2016;3,00;0,01;0,00
220255;2016;2,00;0,01;0,00
220260;2016;8,00;0,01;0,00
220265;2016;3,00;0,01;0,00
220270;2016;13,00;0,01;0,00
220271;2016;2,00;0,01;0,00
220272;2016;3,00;0,01;0,00
220273;2016;2,00;0,01;0,00
220275;2016;3,00;0,01;0,00
220277;2016;4,00;0,01;0,00
220280;2016;2,00;0,01;0,00
220285;2016;2,00;0,01;0,00
220290;2016;13,00;0,01;0,00
220300;2016;4,00;0,01;0,00
220310;2016;5,00;0,01;0,00
220320;2016;5,00;0,01;0,00
220323;2016;2,00;0,01;0,00
220327;2016;2,00;0,01;0,00
220325;2016;2,00;0,01;0,00
220330;2016;7,00;0,01;0,00
220335;2016;3,00;0,01;0,00
220340;2016;3,00;0,01;0,00
220345;2016;5,00;0,01;0,00
220342;2016;2,00;0,01;0,00
220350;2016;7,00;0,01;0,00
220360;2016;2,00;0,01;0,00
220370;2016;17,00;0,01;0,00
220375;2016;3,00;0,01;0,00
220380;2016;2,00;0,01;0,00
220385;2016;1,00;0,01;0,00
220390;2016;25,00;0,01;0,00
220400;2016;3,00;0,01;0,00
220410;2016;2,00;0,01;0,00
220415;2016;1,00;0,01;0,00
220420;2016;4,00;0,01;0,00
220430;2016;6,00;0,01;0,00
220435;2016;3,00;0,01;0,00
220440;2016;4,00;0,01;0,00
220450;2016;5,00;0,01;0,00
220455;2016;2,00;0,01;0,00
220460;2016;2,00;0,01;0,00
220465;2016;5,00;0,01;0,00
220470;2016;7,00;0,01;0,00
220480;2016;5,00;0,01;0,00
220490;2016;4,00;0,01;0,00
220500;2016;6,00;0,01;0,00
220510;2016;5,00;0,01;0,00
220515;2016;3,00;0,01;0,00
220520;2016;9,00;0,01;0,00
220525;2016;2,00;0,01;0,00
220527;2016;2,00;0,01;0,00
220530;2016;2,00;0,01;0,00
220535;2016;1,00;0,01;0,00
220540;2016;7,00;0,01;0,00
